image_id,folder,filename,expected_file,caption
"ASI 003","cave16","ASI_003","ASI_003.jpg","Dying Princess — Conversion of Nanda, Cave 16; Early 5th century AD"
"ASI 005","overview","ASI_005","ASI_005.jpg",""
"ASI 006","cave1","ASI_006","ASI_006.jpg","Janapada-Kalyaani — Conversion of Nanda, Cave 1, 5th century AD"
"ASI 007","cave1","ASI_007","ASI_007.jpg","Maid tries to revive the Princess — Conversion of Nanda, Cave 1"
"ASI 008","cave1","ASI_008","ASI_008.jpg","Clown — ceiling painting, Cave 1"
"ASI 009","cave1","ASI_009","ASI_009.jpg","Woman Listens to the Sermon — Shankha-paala Jaataka, Cave 1"
"ASI 017","cave1","ASI_017","ASI_017.jpg","Royal Household pays Homage — Mahaa-janaka Jaataka, Cave 1"
"ASI 019","cave1","ASI_019","ASI_019.jpg","Preparation for the Ceremony — Mahaa-janaka Jaataka, Cave 1"
"ASI 020","cave1","ASI_020","ASI_020.jpg","Ceremonial Bath — Mahaa-janaka Jaataka, Cave 1"
"ASI 022","cave1","ASI_022","ASI_022.jpg","Mithuna Figures — Bodhi-sattva Padma-paani Panel, Cave 1"
"ASI 025","cave1","ASI_025","ASI_025.jpg","Squares and Rectangles 1 — ceiling painting, Cave 1"
"ASI 027","cave1","ASI_027","ASI_027.jpg","Daughter of Maara — Temptations of the Buddha, Cave 1"
"ASI 028","cave1","ASI_028","ASI_028.jpg","Elephant — ceiling painting (patraja shading), Cave 1"
"ASI 030","cave1","ASI_030","ASI_030.jpg","Charging Bull — ceiling painting (foreshortening), Cave 1"
"ASI 031","overview","ASI_031","ASI_031.jpg",""
"ASI 036","cave1","ASI_036","ASI_036.jpg","Courtiers watch Snake Dance — Champeyya Jaataka, Cave 1"
"ASI 038","cave1","ASI_038","ASI_038.jpg","Three Maids listening to the Sermon — Champeyya Jaataka, Cave 1"
"ASI 043","cave2","ASI_043","ASI_043.jpg","Foreigners drinking — ceiling painting, Cave 2"
"ASI 046","cave2","ASI_046","ASI_046.jpg","Child trying to snatch a Toy — Cave 2, End of 4th century AD"
"ASI 047","overview","ASI_047","ASI_047.jpg",""
"ASI 048","cave2","ASI_048","ASI_048.jpg","Squares and Circles 3 — ceiling painting (binduja shading), Cave 2"
"ASI 067","cave17","ASI_067","ASI_067.jpg","Geometrical Design — ceiling painting, Cave 17"
"ASI 071","cave17","ASI_071","ASI_071.jpg","Restoration of Children — Vishvaantara Jaataka, Cave 17"
"ASI 078","cave17","ASI_078","ASI_078.jpg","Simhala rides a white Elephant — Simhala Avadaana, Cave 17"
"ASI 080","cave17","ASI_080","ASI_080.jpg","Raakshasi feigns Love — Simhala Avadaana, Cave 17"
"ASI 083","overview","ASI_083","ASI_083.jpg",""
"ASI 085","cave10","ASI_085","ASI_085.jpg","Two Figures of the Buddha — Cave 10, period of decline"
"ASI 17","overview","ASI_17","ASI_17.jpg",""
"ASI 46","overview","ASI_46","ASI_46.jpg",""
"ASI B","cave19","ASI_B","ASI_B.jpg","Buddha in the Varada-mudra — facade sculpture, Cave 19"
"ASI C","cave19","ASI_C","ASI_C.jpg","Rahula receiving begging Bowl from the Buddha — facade, Cave 19"
"ASI E","cave19","ASI_E","ASI_E.jpg","Buddha in the Niche — facade sculpture, Cave 19"
"ASI F","cave19","ASI_F","ASI_F.jpg","Kubera — facade sculpture, Cave 19"
"ASI L","cave26","ASI_L","ASI_L.jpg","Daughters of Mara — relief sculpture, Cave 26"
"Cave 1","cave1","Cave_1","Cave_1.jpg",""
"Cave 2","cave2","Cave_2","Cave_2.jpg",""
"Kbl 019","cave2","Kbl_019","Kbl_019.jpg","View of the Interior of Cave 2"
"Kbl 022","cave6","Kbl_022","Kbl_022.jpg","Buddha in the Niche — sculpture, Cave 6, 5th century AD"
"Kbl 023","cave6","Kbl_023","Kbl_023.jpg","Buddha baffles Critics — Miracle of Shraavasti, Cave 6"
"Kbl 024","cave6","Kbl_024","Kbl_024.jpg","Bhikshu with Lotus — Cave 6, 5th century AD"
"Kbl 041","cave9","Kbl_041","Kbl_041.jpg","Kneeling Ascetic — Cave 9, Late 5th century AD"
"Kbl 047","cave26","Kbl_047","Kbl_047.jpg","Ananda weeping — relief sculpture, Cave 26"
"Kbl 048","cave17","Kbl_048","Kbl_048.jpg","Lady at her Toilet — solo painting, Cave 17, End of 6th century AD"
"Kbl 066","cave1","Kbl_066","Kbl_066.jpg","Bodhi-sattva Avalokiteshwara — Cave 1, 2nd half 6th century AD"
"Kbl 068","cave1","Kbl_068","Kbl_068.jpg","Padma-paani's Consort — Bodhi-sattva Panel, Cave 1"
"Kbl 069","cave1","Kbl_069","Kbl_069.jpg","Bodhi-sattva Padma-paani — Cave 1, 2nd half 6th century AD · MASTERPIECE"
"Kbl 071T","overview","Kbl_071T","Kbl_071T.jpg",""
"Kbl 072","cave1","Kbl_072","Kbl_072.jpg","Royal Pavilion — Shibi Jaataka, Cave 1"
"Kbl 074","cave1","Kbl_074","Kbl_074.jpg","King weighs Himself — Shibi Jaataka, Cave 1"
"Kbl 075","cave1","Kbl_075","Kbl_075.jpg","Prince And His Consort — Shibi Jaataka (animnonnata style), Cave 1"
"Kbl 079","cave1","Kbl_079","Kbl_079.jpg","Bhikshu — Conversion of Nanda, Cave 1"
"Kbl 081L","overview","Kbl_081L","Kbl_081L.jpg",""
"Kbl 082","cave1","Kbl_082","Kbl_082.jpg","Shankha-paala listens to the Sermon — Cave 1"
"Kbl 083B/L","overview","Kbl_083B-L","Kbl_083B-L.jpg",""
"Kbl 083T/L","overview","Kbl_083T-L","Kbl_083T-L.jpg",""
"Kbl 085","cave1","Kbl_085","Kbl_085.jpg","Mahaa-Janaka Meets An Ascetic — Mahaa-janaka Jaataka, Cave 1"
"Kbl 087L","overview","Kbl_087L","Kbl_087L.jpg",""
"Kbl 087R","overview","Kbl_087R","Kbl_087R.jpg",""
"Kbl 088","overview","Kbl_088","Kbl_088.jpg",""
"Kbl 089","overview","Kbl_089","Kbl_089.jpg",""
"Kbl 090L","cave1","Kbl_090L","Kbl_090L.jpg","Queen captivates Mahaa-janaka — Mahaa-janaka Jaataka (baroque), Cave 1"
"Kbl 091","cave1","Kbl_091","Kbl_091.jpg","Dancing Girl With Musicians — Mahaa-janaka Jaataka (reverse perspective), Cave 1"
"Kbl 096","cave1","Kbl_096","Kbl_096.jpg","Mahaa-Janaka Leaves The Palace — Mahaa-janaka Jaataka, Cave 1"
"Kbl 097","overview","Kbl_097","Kbl_097.jpg",""
"Kbl 105","cave1","Kbl_105","Kbl_105.jpg","Naaga King repents his Life of Pleasures — Champeyya Jaataka, Cave 1"
"Kbl 106B","cave1","Kbl_106B","Kbl_106B.jpg","Champeyya Gives A Sermon — Champeyya Jaataka, Cave 1"
"Kbl 106T","overview","Kbl_106T","Kbl_106T.jpg",""
"Kbl 108","cave1","Kbl_108","Kbl_108.jpg","Royal Harem — ceiling painting, Cave 1"
"Kbl 109","cave1","Kbl_109","Kbl_109.jpg","Some Foreigners — Cave 1, End of 6th century AD"
"Kbl 114B","overview","Kbl_114B","Kbl_114B.jpg",""
"Kbl 118","cave2","Kbl_118","Kbl_118.jpg","Thousand Buddhas — Miracle of Shraavasti, Cave 2, period of decline"
"Kbl 120","cave2","Kbl_120","Kbl_120.jpg","Future Buddha in Tushita Heaven — Nativity of the Buddha, Cave 2"
"Kbl 122B","cave2","Kbl_122B","Kbl_122B.jpg","Queen Mahaa-maaya musing — Nativity of the Buddha, Cave 2"
"Kbl 122T","cave2","Kbl_122T","Kbl_122T.jpg","King listens to the Interpretation of the Dream — Nativity, Cave 2"
"Kbl 122b","overview","Kbl_122b","Kbl_122b.jpg",""
"Kbl 123","cave2","Kbl_123","Kbl_123.jpg","Birth of the Buddha — Nativity, Cave 2, 5th century AD"
"Kbl 126","cave2","Kbl_126","Kbl_126.jpg","Votaries with Offerings — Cave 2, classical peak, End of 4th century AD"
"Kbl 127","cave2","Kbl_127","Kbl_127.jpg","Children playing with Hen — Cave 2, End of 4th century AD"
"Kbl 129","overview","Kbl_129","Kbl_129.jpg",""
"Kbl 130","cave2","Kbl_130","Kbl_130.jpg","Irandati meets Punyaka — Vidhura-pandita Jaataka, Cave 2"
"Kbl 131","overview","Kbl_131","Kbl_131.jpg",""
"Kbl 132","cave2","Kbl_132","Kbl_132.jpg","Game of Dice — Vidhura-pandita Jaataka, Cave 2 · reverse perspective"
"Kbl 133","overview","Kbl_133","Kbl_133.jpg",""
"Kbl 134","cave2","Kbl_134","Kbl_134.jpg","Vidhura-pandita gives Farewell Sermon — Cave 2"
"Kbl 136","cave2","Kbl_136","Kbl_136.jpg","Vidhura-pandita in Naaga Kingdom — Cave 2"
"Kbl 137","overview","Kbl_137","Kbl_137.jpg",""
"Kbl 139B","overview","Kbl_139B","Kbl_139B.jpg",""
"Kbl 139T","overview","Kbl_139T","Kbl_139T.jpg",""
"Kbl 140","overview","Kbl_140","Kbl_140.jpg",""
"Kbl 150","cave16","Kbl_150","Kbl_150.jpg","Nanda shaves his Head — Conversion of Nanda, Cave 16"
"Kbl 152","cave16","Kbl_152","Kbl_152.jpg","Nanda in dejected Mood — Conversion of Nanda, Cave 16"
"Kbl 157","cave17","Kbl_157","Kbl_157.jpg","A View of the Main Hall of Cave 17"
"Kbl 159","cave17","Kbl_159","Kbl_159.jpg","Vishvaantara distributes Alms — Vishvaantara Jaataka, Cave 17"
"Kbl 161","cave17","Kbl_161","Kbl_161.jpg","Vishvaantara consoles his Wife — Vishvaantara Jaataka, Cave 17"
"Kbl 162","cave17","Kbl_162","Kbl_162.jpg","Vishvaantara's Departure — Vishvaantara Jaataka, Cave 17"
"Kbl 164","cave17","Kbl_164","Kbl_164.jpg","Descent of Indra — Adoration of the Buddha, Cave 17"
"Kbl 168","cave17","Kbl_168","Kbl_168.jpg","Yaksha-Couple — Adoration of the Buddha, Cave 17"
"Kbl 169","cave17","Kbl_169","Kbl_169.jpg","Black Apsaras — Adoration of the Buddha, Cave 17"
"Kbl 171","cave17","Kbl_171","Kbl_171.jpg","Deva-datta hatches a Conspiracy — Miracle at Raajagriha, Cave 17"
"Kbl 172","cave17","Kbl_172","Kbl_172.jpg","Mad Elephant Nalagiri — Miracle at Raajagriha, Cave 17"
"Kbl 173","cave17","Kbl_173","Kbl_173.jpg","Subjugation of the Elephant — Miracle at Raajagriha, Cave 17"
"Kbl 174","cave17","Kbl_174","Kbl_174.jpg","Resting Bulls — ceiling painting, Cave 17"
"Kbl 179","cave17","Kbl_179","Kbl_179.jpg","Sporting Shad-danta — Shad-danta Jaataka, Cave 17"
"Kbl 180B","cave17","Kbl_180B","Kbl_180B.jpg","Queen faints — Shad-danta Jaataka, Cave 17"
"Kbl 180T","overview","Kbl_180T","Kbl_180T.jpg",""
"Kbl 183","cave17","Kbl_183","Kbl_183.jpg","Fowler brings the Geese to the Court — Mahaa-hamsa Jaataka, Cave 17"
"Kbl 184","cave17","Kbl_184","Kbl_184.jpg","Golden Goose gives Sermon — Mahaa-hamsa Jaataka, Cave 17"
"Kbl 186","cave17","Kbl_186","Kbl_186.jpg","Vishvaantara informs his Wife — Vishvaantara Jaataka, Cave 17"
"Kbl 187","cave17","Kbl_187","Kbl_187.jpg","Maid braids the Hair — Vishvaantara Jaataka, Cave 17"
"Kbl 188R","cave17","Kbl_188R","Kbl_188R.jpg","Citizens watch Vishvaantara's Departure — Cave 17"
"Kbl 190","cave17","Kbl_190","Kbl_190.jpg","Coronation of Vishvaantara — Vishvaantara Jaataka, Cave 17"
"Kbl 192","cave17","Kbl_192","Kbl_192.jpg","Monkey helps a Man — Mahaa-kapi Jaataka, Cave 17"
"Kbl 193","cave17","Kbl_193","Kbl_193.jpg","Man throws Stone on the Monkey — Mahaa-kapi Jaataka, Cave 17"
"Kbl 195","cave17","Kbl_195","Kbl_195.jpg","Court of Sudaasa — Suta-soma Jaataka, Cave 17"
"Kbl 196","cave17","Kbl_196","Kbl_196.jpg","Coronation of Saudaasa — Suta-soma Jaataka, Cave 17"
"Kbl 197","overview","Kbl_197","Kbl_197.jpg",""
"Kbl 197B","overview","Kbl_197B","Kbl_197B.jpg",""
"Kbl 197T","overview","Kbl_197T","Kbl_197T.jpg",""
"Kbl 198","overview","Kbl_198","Kbl_198.jpg",""
"Kbl 199","overview","Kbl_199","Kbl_199.jpg",""
"Kbl 200","cave17","Kbl_200","Kbl_200.jpg","Mother and Child before the Buddha — Buddha in Kapila-vastu, Cave 17"
"Kbl 201","overview","Kbl_201","Kbl_201.jpg",""
"Kbl 202","cave17","Kbl_202","Kbl_202.jpg","Mahaa-maaya listens to the Sermon — Preaching, Cave 17"
"Kbl 203","overview","Kbl_203","Kbl_203.jpg",""
"Kbl 204","overview","Kbl_204","Kbl_204.jpg",""
"Kbl 207B","cave17","Kbl_207B","Kbl_207B.jpg","Happy Reunion with the blind Parents — Maatri-poshaka Jaataka, Cave 17"
"Kbl 211B","cave17","Kbl_211B","Kbl_211B.jpg","Raakshasi-s as beautiful Maidens — Simhala Avadaana, Cave 17"
"Kbl 212","cave17","Kbl_212","Kbl_212.jpg","Merry Couples under Tents — Simhala Avadaana, Cave 17"
"Kbl 213","overview","Kbl_213","Kbl_213.jpg",""
"Kbl 214","cave17","Kbl_214","Kbl_214.jpg","Cannibalistic Raakshasi-s — Simhala Avadaana, Cave 17"
"Kbl 216B","cave17","Kbl_216B","Kbl_216B.jpg","Escape of Simhala — Simhala Avadaana, Cave 17"
"Kbl 217","overview","Kbl_217","Kbl_217.jpg",""
"Kbl 218/219","overview","Kbl_218-219","Kbl_218-219.jpg",""
"Kbl 221","cave17","Kbl_221","Kbl_221.jpg","Massacre in the Palace — Simhala Avadaana, Cave 17"
"Kbl 223","cave17","Kbl_223","Kbl_223.jpg","Vultures on the Gate — Simhala Avadaana, Cave 17"
"Kbl 224","cave17","Kbl_224","Kbl_224.jpg","Army gets Ready — Simhala Avadaana, Cave 17"
"Kbl 227B/L","overview","Kbl_227B-L","Kbl_227B-L.jpg",""
"Kbl 227R","cave17","Kbl_227R","Kbl_227R.jpg","Monastery — Shibi Jaataka, Cave 17 · normal perspective"
"Kbl 227T/L","overview","Kbl_227T-L","Kbl_227T-L.jpg",""
"Kbl 228/229","overview","Kbl_228-229","Kbl_228-229.jpg",""
"Kbl 229","cave17","Kbl_229","Kbl_229.jpg","King arrives in the Forest — Mriga Jaataka, Cave 17"
"Kbl 23","overview","Kbl_23","Kbl_23.jpg",""
"Kbl 230","overview","Kbl_230","Kbl_230.jpg",""
"Kbl 231","cave17","Kbl_231","Kbl_231.jpg","Deer carried on a Chariot — Mriga Jaataka, Cave 17"
"Kbl 232","overview","Kbl_232","Kbl_232.jpg",""
"Kbl 89","overview","Kbl_89","Kbl_89.jpg",""
"Line 01","line_sketches","Line_01","Line_01.jpg",""
"Line 03","line_sketches","Line_03","Line_03.jpg",""
"Line 04","line_sketches","Line_04","Line_04.jpg",""
"Line 05","line_sketches","Line_05","Line_05.jpg",""
"Line 06","line_sketches","Line_06","Line_06.jpg",""
"Line 07","line_sketches","Line_07","Line_07.jpg",""
"Line 08","line_sketches","Line_08","Line_08.jpg",""
"Line 09","line_sketches","Line_09","Line_09.jpg",""
"Line 10","line_sketches","Line_10","Line_10.jpg",""
"Line 11","line_sketches","Line_11","Line_11.jpg",""
"Line 12","line_sketches","Line_12","Line_12.jpg",""
"Line 13","line_sketches","Line_13","Line_13.jpg",""
"Line 14","line_sketches","Line_14","Line_14.jpg",""
"Line 16","line_sketches","Line_16","Line_16.jpg",""
"Line 17","line_sketches","Line_17","Line_17.jpg",""
"Line 18","line_sketches","Line_18","Line_18.jpg",""
"Line 19","line_sketches","Line_19","Line_19.jpg",""
"Line 2","line_sketches","Line_2","Line_2.jpg",""
"Line 3","line_sketches","Line_3","Line_3.jpg",""
"Mjt 007","overview","Mjt_007","Mjt_007.jpg",""
"Mjt 013","cave1","Mjt_013","Mjt_013.jpg","Fighting Bulls — ceiling painting, Cave 1"
"Mjt 034","cave1","Mjt_034","Mjt_034.jpg","Woman holding a Lotus — Queen in a Palace Scene, Cave 1"
"Mjt 046","cave1","Mjt_046","Mjt_046.jpg","Dancer in the Naaga Court — Palace Scene of the Naaga Kingdom, Cave 1"
"Mjt 051","cave1","Mjt_051","Mjt_051.jpg","Wailing Women — Shibi Jaataka (animnonnata style), Cave 1"
"Mjt 078","cave1","Mjt_078","Mjt_078.jpg","Shakti Pandara — Bodhi-sattva Avalokiteshvara Panel, Cave 1"
"Mjt 097","cave2","Mjt_097","Mjt_097.jpg","Gate in King Brahma-datta's Palace — Cave 2 · normal perspective"
"Mjt 106","cave10","Mjt_106","Mjt_106.jpg","Raja with his Retinue — Cave 10, 2nd/1st c. BC · EARLIEST SURVIVING PAINTING"
"Mjt 107","cave10","Mjt_107","Mjt_107.jpg","Dancers and Musicians — Cave 10, 2nd/1st century BC"
"Mjt 111","cave16","Mjt_111","Mjt_111.jpg","Maho-sadha and Four envious Counsellors — Mahaa-ummaga Jaataka, Cave 16"
"Mjt 146","overview","Mjt_146","Mjt_146.jpg",""
"Mjt 167","cave17","Mjt_167","Mjt_167.jpg","Deer Hunt — Suta-soma Jaataka, Cave 17"
"Nou 008","cave26","Nou_008","Nou_008.jpg","Buddha's Nirvana — relief sculpture, Cave 26"
"Nou 020","overview","Nou_020","Nou_020.jpg",""
"Nou 025","cave19","Nou_025","Nou_025.jpg","Chaitya Interior — Cave 19"
"Nou 030","cave17","Nou_030","Nou_030.jpg","A View of the Aisle of Cave 17"
"Nou 035","overview","Nou_035","Nou_035.jpg",""
"Nou 040","overview","Nou_040","Nou_040.jpg",""
"Nou 048","cave1","Nou_048","Nou_048.jpg","Temptations of the Buddha — Cave 1, 5th century AD"
"Nou 050","cave1","Nou_050","Nou_050.jpg","Maara's Attendant — Temptations of the Buddha, Cave 1"
"Nou 073","cave1","Nou_073","Nou_073.jpg","Queen in a Palace Scene — Cave 1, period of decline"
"Nou 076","cave1","Nou_076","Nou_076.jpg","Palace Scene of the Naaga Kingdom — Cave 1"
"Nou 133","cave2","Nou_133","Nou_133.jpg","Images of the Buddhas — Cave 2, 4th century AD"
"Nou 137","cave2","Nou_137","Nou_137.jpg","Departure of Vidhura-pandita — Cave 2"
"Nou 155","cave17","Nou_155","Nou_155.jpg","Six Gandharva-s — ceiling painting, Cave 17"
"Nou 161/162","overview","Nou_161-162","Nou_161-162.jpg",""
"Nou 192","cave17","Nou_192","Nou_192.jpg","Capture, Freedom and Reunion — Maatri-poshaka Jaataka, Cave 17"
"Nou 197","cave17","Nou_197","Nou_197.jpg","Buddha preaches to the Congregation — Cave 17"
"Nou 207","cave17","Nou_207","Nou_207.jpg","Mahisha Jaataka — Cave 17, 5th century AD"
"Nou 210","overview","Nou_210","Nou_210.jpg","A View of the Caves — Ajanta"
"Nou 211","cave19","Nou_211","Nou_211.jpg","Facade — Cave 19"
"Nou 212","cave19","Nou_212","Nou_212.jpg","Naaga Couple — sculpture, Cave 19"
"Nou 215","cave26","Nou_215","Nou_215.jpg","Mahaa-parinirvaana — colossal reclining Buddha, Cave 26"
"Nou 25","overview","Nou_25","Nou_25.jpg",""
"asi 028","overview","asi_028","asi_028.jpg",""
"asi 030","overview","asi_030","asi_030.jpg",""
"asi 067","overview","asi_067","asi_067.jpg",""
"asi83","overview","asi83","asi83.jpg",""
"kbl 091","overview","kbl_091","kbl_091.jpg",""
"kbl 132","overview","kbl_132","kbl_132.jpg",""
"kbl 157","overview","kbl_157","kbl_157.jpg",""
"kbl 159","overview","kbl_159","kbl_159.jpg",""
"kbl 164","overview","kbl_164","kbl_164.jpg",""
"kbl 174","overview","kbl_174","kbl_174.jpg",""
"kbl 227R","overview","kbl_227R","kbl_227R.jpg",""
"line 13","line_sketches","line_13","line_13.jpg",""
"mjt 097","overview","mjt_097","mjt_097.jpg",""
"nou 155","overview","nou_155","nou_155.jpg",""
"nou 197","overview","nou_197","nou_197.jpg",""
"nou 212","overview","nou_212","nou_212.jpg",""
"nou 214","overview","nou_214","nou_214.jpg",""